id,fecha,canal,puntuacion,titulo,resena
18,2024-11-22,G2,3,"La búsqueda deja mucho que desear","La funcionalidad general es buena pero la búsqueda global es muy básica. No puedes filtrar por fecha, por asignado y por proyecto a la vez. Para equipos grandes con muchas tareas esto se vuelve un problema real en el día a día."
19,2024-11-23,App Store,5,"Actualizaciones constantes y en la buena dirección","Cada mes sacan mejoras reales, no solo parches. Esta semana añadieron la integración con Notion que teníamos pedida desde hace tiempo. Se nota que escuchan el feedback de los usuarios."
20,2024-11-24,Capterra,2,"Los reportes no exportan bien a Excel","Los reportes en pantalla están bien pero al exportar a CSV los campos de fecha no tienen formato estándar y hay caracteres extraños en los títulos con tildes. Para equipos que trabajan con Excel esto es un dolor de cabeza continuo."
21,2024-11-25,Trustpilot,4,"Buena relación calidad-precio para startups","En el plan de inicio tienes todo lo que necesita un equipo de hasta 5 personas. Cuando crecimos a 8 el salto de precio fue notable pero las funcionalidades adicionales lo justificaron. Buena opción para startups en fase temprana."
22,2024-11-26,G2,1,"Datos incorrectos en los reportes de tiempo","Los registros de tiempo que exportamos no cuadran con lo que vemos en pantalla. Hay diferencias de horas en varios proyectos. Esto afecta directamente a nuestra facturación a clientes. Bug crítico sin resolver desde hace semanas."
23,2024-11-27,App Store,5,"El mejor onboarding que he visto","En menos de una hora teníamos el equipo configurado y trabajando. Los templates son muy prácticos y el asistente de configuración inicial te lleva de la mano sin agobiar. Ojalá todas las herramientas B2B lo hicieran así."
24,2024-11-28,Capterra,3,"Funciona, pero la interfaz podría ser más intuitiva","Algunas acciones requieren demasiados clics y no siempre es obvio dónde está cada cosa. Después de un mes de uso ya lo tenemos asumido, pero la curva inicial fue más alta de lo esperado para usuarios no técnicos del equipo."
25,2024-11-29,Trustpilot,4,"Integraciones muy sólidas","Tenemos conectado FlowDesk con Slack, GitHub y nuestro CRM mediante la API. La documentación de la API es clara y el equipo de integraciones respondió rápido cuando tuvimos dudas. Solo falta integración nativa con HubSpot."
26,2024-11-30,G2,2,"Notificaciones fuera de control","Recibes notificaciones por absolutamente todo y configurar qué quieres recibir es un laberinto. Acabas silenciándolo todo y perdiéndote cosas importantes. Necesitan una revisión completa del sistema de notificaciones."
27,2024-12-01,App Store,5,"Imprescindible para trabajo remoto","Nuestro equipo está en cuatro países y FlowDesk ha sido clave para mantenernos sincronizados. La vista de zonas horarias en el calendario y los resúmenes diarios automáticos son funciones que no cambiaría por nada."
28,2024-12-02,Capterra,3,"Precio justo, rendimiento mejorable","Por el precio está bien. El mayor punto de mejora es el rendimiento: en conexiones lentas la app carga muy despacio y no tiene modo offline. Para trabajar desde lugares con mala cobertura es un problema."
29,2024-12-03,Trustpilot,1,"Cancelación imposible","Quise cancelar la suscripción y no hay forma de hacerlo desde el panel. Te obliga a contactar con soporte, que tarda días en responder. Práctica muy cuestionable que espero que cambien. Al final tuve que bloquear el cargo con el banco."
30,2024-12-04,G2,5,"El gantt interactivo es una maravilla","Arrastrar tareas en el gantt y ver cómo se recalculan automáticamente las dependencias nos ha ahorrado horas de planificación cada semana. Es la función que más valora nuestro equipo de operaciones sin ninguna duda."
